name,nickname,record,height,weight,reach,stance,DOB,significant strikes per min,striking accuracy,strikes absorbed per min,strike defense,takedown average,takedown accuracy,takedown defense,submission average,most recent fight
"Carlton,Minus",Clutch,"10-3-0,(1,NC)",5  10,170 lbs.,75,Orthodox,"Apr 26, 1993",3.50,40%,4.97,50%,0.00,0%,58%,0.0,loss
"Frank,Mir",,18-11-0,6  3,264 lbs.,79,Southpaw,"May 24, 1979",2.18,47%,3.84,38%,2.02,40%,54%,2.0,loss
"Adam,Milstead",The Prototype,8-4-0,6  3,205 lbs.,76,Orthodox,"Jul 03, 1987",3.85,46%,4.79,43%,0.00,0%,64%,0.0,loss
"Che,Mills",Beautiful,"16-10-0,(3,NC)",6  1,170 lbs.,76,Orthodox,"Sep 29, 1982",2.08,52%,2.87,43%,1.18,66%,58%,0.0,nc
"Darrick,Minner",,26-14-0,5  7,145 lbs.,69,Orthodox,"Apr 28, 1990",2.63,65%,2.28,35%,2.40,72%,66%,2.7,loss
"Eddy,Millis",,0-2-0,6  1,185 lbs.,--,,--,0.00,0%,3.36,22%,0.00,0%,0%,7.2,loss
"Ikuhisa,Minowa",Minowaman,60-42-8,5  9,181 lbs.,--,Orthodox,"Jan 12, 1976",0.88,40%,1.66,49%,1.82,41%,5%,1.9,win
"Landon,Showalter",The Show,11-19-1,6  0,185 lbs.,--,,"Jun 14, 1976",0.00,0%,0.00,0%,0.00,0%,0%,0.0,win
"Jack,Shore",Tank,17-3-0,5  8,145 lbs.,71,Orthodox,"Feb 06, 1995",3.60,58%,2.31,56%,3.22,39%,74%,0.6,loss
"Alberto,Mina",Soldier of God,13-1-0,6  0,170 lbs.,77,Orthodox,"May 02, 1982",3.23,38%,3.70,47%,1.85,20%,50%,0.0,loss
"Liudvik,Sholinian",Palmeyros,9-4-1,5  10,135 lbs.,71,Orthodox,"Jan 20, 1990",2.50,30%,5.67,55%,0.00,0%,66%,0.0,loss
"Josh,Shockley",,11-4-0,6  1,155 lbs.,--,Orthodox,"Nov 15, 1989",1.40,33%,1.75,60%,0.00,0%,61%,0.8,loss
"Josh,Shockman",The War Hammer,6-3-0,6  4,235 lbs.,--,Southpaw,"Dec 29, 1980",0.87,32%,0.87,58%,0.00,0%,23%,0.0,loss
"Wes,Shivers",,7-1-0,6  8,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,win
"Yuya,Shirai",,26-14-2,5  8,168 lbs.,--,Orthodox,"Apr 02, 1980",1.02,100%,4.07,55%,0.00,0%,0%,0.0,loss
"Wade,Shipp",The Nightmare,11-5-0,6  3,245 lbs.,--,Orthodox,"Feb 09, 1975",4.29,86%,2.14,0%,0.00,0%,75%,0.0,loss
"Shunichi,Shimizu",,"30-18-11,(1,NC)",5  5,135 lbs.,--,Orthodox,"Jan 31, 1985",0.14,33%,4.68,30%,0.00,0%,0%,0.0,loss
"Juliana,Miller",Killer,4-3-0,5  7,125 lbs.,66,Orthodox,"May 07, 1996",3.31,45%,4.75,32%,1.84,44%,0%,1.8,loss
"Mo,Miller",Moshow,6-0-0,5  8,135 lbs.,72,Orthodox,"Aug 10, 1992",1.87,45%,1.33,60%,4.00,80%,0%,0.0,win
"Micah,Miller",Maverick,"20-8-0,(1,NC)",6  0,145 lbs.,--,Orthodox,"Feb 14, 1987",1.33,33%,2.15,54%,0.98,37%,21%,2.0,loss
"Akira,Shoji",,14-17-5,5  8,195 lbs.,--,Orthodox,"Jan 31, 1974",1.03,34%,2.63,53%,1.79,73%,82%,0.4,loss
"Cole,Miller",Magrinho,"21-11-0,(1,NC)",6  1,145 lbs.,73,Orthodox,"Apr 26, 1984",3.00,33%,3.88,59%,0.60,36%,38%,1.8,loss
"Henrique,Shiguemoto",,13-4-1,5  11,185 lbs.,72,Orthodox,"Jun 22, 1989",3.60,33%,6.00,16%,0.00,0%,50%,0.0,loss
"Jake,Shields",,"31-9-1,(1,NC)",6  0,170 lbs.,72,Orthodox,"Jan 09, 1979",2.45,36%,1.80,56%,2.83,29%,35%,1.2,loss
"Henry,Miller",Sentoryu,"6-16-0,(1,NC)",5  7,270 lbs.,--,Southpaw,"Jul 16, 1969",1.25,36%,2.16,54%,0.55,25%,60%,0.0,loss
"Jim,Miller",A-10,"38-18-0,(1,NC)",5  8,155 lbs.,71,Southpaw,"Aug 30, 1983",2.99,42%,3.51,56%,1.52,44%,49%,1.7,win
"Shi,Ming",,17-5-0,5  2,115 lbs.,60,Orthodox,"Nov 14, 1994",3.48,39%,3.24,53%,0.37,16%,58%,0.0,win
"Dan,Miller",,"14-8-0,(1,NC)",6  1,185 lbs.,74,Orthodox,"Jun 30, 1981",2.03,36%,3.06,49%,1.67,54%,47%,1.8,loss
"Katsuyori,Shibata",,4-11-1,6  0,168 lbs.,--,Orthodox,"Nov 17, 1979",2.06,35%,2.40,53%,0.49,50%,53%,0.7,loss
"Valentina,Shevchenko",Bullet,24-4-1,5  5,125 lbs.,66,Southpaw,"Mar 07, 1988",3.16,52%,2.00,64%,2.74,64%,71%,0.3,win
"Antonina,Shevchenko",La Pantera,10-4-0,5  8,125 lbs.,67,Southpaw,"Nov 20, 1984",3.86,55%,2.93,52%,0.43,42%,53%,0.4,win
"Sean,Sherk",The Muscle Shark,36-4-1,5  6,155 lbs.,67,Orthodox,"Aug 05, 1973",2.17,35%,2.71,55%,4.09,46%,56%,0.4,win
"Chase,Sherman",The Vanilla Gorilla,16-12-0,6  4,250 lbs.,78,Orthodox,"Nov 16, 1989",6.04,45%,6.65,52%,0.09,50%,74%,0.0,loss
"Jason,Miller",Mayhem,"23-10-0,(1,NC)",6  1,185 lbs.,--,Orthodox,"Dec 24, 1980",1.83,43%,2.30,49%,1.31,28%,43%,1.3,loss
"Jason,Sharp",,3-3-0,--,205 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Eric,Shelton",Showtime,12-6-0,5  6,125 lbs.,68,Orthodox,"Feb 02, 1991",2.57,42%,1.88,63%,2.83,51%,46%,0.2,loss
"Billy,Miles",The Kid,2-2-0,5  10,170 lbs.,--,Orthodox,"Apr 28, 1978",0.00,0%,1.25,33%,0.00,0%,0%,0.0,loss
"Pat,Miletich",The Croatian Sensation,29-7-2,5  10,170 lbs.,--,Orthodox,"Mar 09, 1968",1.79,45%,1.66,63%,1.96,100%,54%,1.0,loss
"Phillip,Miller",,16-0-0,5  11,185 lbs.,--,Orthodox,"Feb 20, 1979",1.61,54%,1.93,50%,3.62,25%,100%,0.6,win
"Curtis,Millender",Curtious,17-5-0,6  2,170 lbs.,76,Orthodox,"Dec 01, 1987",3.86,46%,2.95,61%,0.43,100%,57%,0.0,loss
"Chris,Mierzwiak",,5-3-0,6  1,185 lbs.,--,,"Feb 14, 1988",1.60,61%,1.73,48%,2.00,28%,0%,1.0,loss
"Bojan,Mihajlovic",,10-6-0,5  11,205 lbs.,73,Orthodox,"Mar 30, 1980",1.23,35%,5.95,47%,0.00,0%,33%,0.0,loss
"Keith,Mielke",,0-5-0,5  8,185 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Zachary,Micklewright",,15-3-0,6  0,155 lbs.,74,Southpaw,"Aug 21, 1976",5.56,53%,4.72,54%,0.70,12%,100%,0.0,loss
"Liliya,Shakirova",,8-2-0,5  4,125 lbs.,65,Orthodox,"Oct 24, 1991",2.70,30%,2.58,74%,0.00,0%,0%,0.0,loss
"Kristof,Midoux",The Hurricane,6-10-0,6  1,220 lbs.,--,Orthodox,"Jul 30, 1974",0.70,43%,2.89,49%,0.00,0%,0%,0.0,loss
"Kamal,Shalorus",Prince of Persia,9-5-2,5  8,155 lbs.,68,Orthodox,"Aug 27, 1972",3.06,32%,2.99,70%,2.07,50%,80%,0.0,loss
"Don,Shainis",Shameless,12-5-0,5  6,145 lbs.,67,Orthodox,"Sep 16, 1990",3.42,50%,5.87,31%,0.97,25%,20%,1.9,loss
"Ken,Shamrock",The World's Most Dangerous Man,28-17-2,6  1,205 lbs.,72,Orthodox,"Feb 11, 1964",1.47,46%,4.30,39%,0.94,60%,44%,2.5,loss
"Scott,Shaffer",,0-1-0,5  7,145 lbs.,--,Orthodox,--,2.40,67%,0.53,50%,0.00,0%,72%,3.0,loss
"Edmen,Shahbazyan",The Golden Boy,13-5-0,6  3,185 lbs.,75,Orthodox,"Nov 20, 1997",3.77,50%,3.90,46%,2.01,38%,65%,0.5,next
"Leon,Shahbazyan",,7-2-0,6  4,170 lbs.,74,Orthodox,"Nov 18, 1995",6.33,52%,8.18,32%,1.46,50%,0%,0.0,loss
"Rosi,Sexton",The Surgeon,13-5-0,5  3,135 lbs.,--,Orthodox,"Jul 16, 1977",3.31,39%,7.42,41%,0.75,10%,80%,0.0,loss
"Igor,Severino",,8-1-0,5  7,125 lbs.,69,Orthodox,"Apr 21, 2003",7.17,52%,4.33,47%,9.69,71%,50%,0.0,loss
"Dan,Severn",The Beast,101-19-1,6  2,250 lbs.,--,Southpaw,"Jun 08, 1958",0.00,0%,0.00,0%,0.00,0%,0%,0.0,win
"Carl,Seumanutafa",,10-8-0,6  1,255 lbs.,--,Orthodox,--,0.00,0%,3.33,75%,0.00,0%,0%,0.0,loss
"Nursulton,Ruziboev",Black,"34-9-2,(2,NC)",6  5,170 lbs.,76,Orthodox,"Nov 19, 1993",2.50,43%,4.60,49%,0.77,100%,0%,0.0,loss
"Bas,Rutten",El Guapo,28-4-1,6  1,205 lbs.,--,Orthodox,"Feb 24, 1965",5.59,61%,2.06,79%,0.00,0%,0%,0.0,win
"Montserrat,Conejo,Ruiz",,10-4-0,5  0,115 lbs.,61,Southpaw,"Feb 03, 1993",0.79,27%,4.96,37%,2.05,83%,33%,0.8,loss
"Casey,Ryan",,7-3-0,--,185 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,win
"Eddie,Ruiz",,1-1-0,5  7,155 lbs.,--,Orthodox,"Jun 10, 1967",0.20,25%,1.40,47%,2.00,12%,0%,0.0,loss
"Anthony,Ruiz",El Toro,33-22-0,6  2,205 lbs.,--,Orthodox,"Nov 03, 1977",2.56,64%,1.67,28%,1.43,31%,21%,0.0,loss
"Mike,Russow",,"15-3-0,(1,NC)",6  1,255 lbs.,73,Orthodox,"Sep 11, 1976",1.55,47%,2.90,59%,4.66,43%,0%,0.7,loss
"Mauricio,Ruffy",,11-1-0,5  11,155 lbs.,75,Orthodox,"Jun 17, 1996",4.70,59%,4.76,60%,0.00,0%,100%,0.0,win
"Gabe,Ruediger",Godzilla,18-8-0,5  10,155 lbs.,--,Orthodox,"Aug 29, 1977",1.70,31%,5.16,41%,2.04,11%,28%,0.0,loss
"Rodolfo,Rubio,Perez",Fito,10-16-1,5  5,145 lbs.,--,Orthodox,"Jan 29, 1987",1.13,36%,1.00,62%,2.00,33%,33%,0.0,loss
"Rodrigo,Ruas",,"4-5-1,(1,NC)",5  10,185 lbs.,--,Orthodox,"Oct 06, 1977",1.28,35%,7.00,41%,0.00,0%,0%,0.0,loss
"Chris,Mickle",,"30-21-2,(1,NC)",5  9,145 lbs.,--,Orthodox,"Jul 10, 1983",3.03,27%,9.70,48%,0.00,0%,0%,0.0,loss
"Jonathan,Micallef",The Captain,7-1-0,6  0,170 lbs.,77,Southpaw,"Mar 05, 1999",0.33,25%,1.66,16%,4.97,50%,50%,5.0,next
"Marco,Ruas",King of the Streets,9-4-2,6  1,210 lbs.,--,Orthodox,"Jan 23, 1961",0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Andreas,Michailidis",The Spartan,13-6-0,6  0,170 lbs.,76,Orthodox,"Jul 18, 1988",2.90,51%,3.57,44%,1.12,27%,50%,0.0,loss
"Brandon,Michaels",,4-14-0,5  9,185 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"David,Michaud",BullDawg,11-3-0,5  9,155 lbs.,--,Orthodox,"Nov 10, 1988",3.25,43%,4.45,54%,2.53,58%,77%,0.7,loss
"Yaotzin,Meza",,"21-11-0,(1,NC)",5  9,145 lbs.,71,Orthodox,"Feb 04, 1981",1.43,41%,1.62,64%,1.06,20%,18%,1.4,loss
"Jonathan,Meunier",District,8-1-0,6  3,170 lbs.,--,Switch,"Aug 04, 1987",3.47,50%,1.43,69%,0.58,33%,58%,0.0,win
"Joe,Merritt",,7-2-0,6  0,170 lbs.,--,Orthodox,"Mar 07, 1984",1.53,58%,0.73,66%,0.00,0%,68%,0.0,loss
"Jeremiah,Metcalf",,13-7-0,6  1,185 lbs.,--,Orthodox,--,1.74,59%,0.27,60%,4.02,66%,100%,2.0,win
"Guy,Mezger",,30-14-2,6  1,200 lbs.,--,Orthodox,"Jan 01, 1968",2.30,32%,1.36,72%,0.39,50%,88%,0.0,loss
"Nick,Serra",The Mad Monkey,7-3-0,5  9,170 lbs.,--,Orthodox,"Mar 27, 1978",0.00,0%,1.73,43%,1.00,10%,0%,2.0,loss
"Fredy,Serrano",El Profe,3-2-0,5  3,125 lbs.,65,Orthodox,"Sep 22, 1979",1.58,26%,1.89,61%,2.84,25%,84%,0.0,loss
"Adrian,Serrano",,56-29-4,5  8,170 lbs.,--,,"Dec 23, 1963",0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Matt,Serra",The Terra,11-7-0,5  6,170 lbs.,68,Orthodox,"Jun 02, 1974",1.98,39%,2.64,46%,2.05,20%,38%,0.9,loss
"Alex,Serdyukov",The Russian Crusher,8-5-0,6  2,170 lbs.,74,Orthodox,"May 24, 1980",4.94,48%,3.10,46%,1.84,55%,67%,1.8,loss
"Ivan,Serati",,12-4-0,6  0,205 lbs.,--,Orthodox,--,0.86,26%,5.33,29%,0.00,0%,0%,0.0,loss
"Ray,Seraille",,8-9-0,6  3,246 lbs.,--,,--,5.29,27%,17.65,41%,0.00,0%,0%,0.0,loss
"Kim,In,Seok",,3-6-0,5  6,145 lbs.,--,Orthodox,--,0.87,37%,5.19,60%,0.00,0%,0%,0.0,loss
"YeDam,Seo",,7-4-0,5  3,115 lbs.,63,Orthodox,"Mar 20, 1992",1.07,27%,2.40,58%,0.50,20%,42%,0.0,loss
"Mackens,Semerzier",Da Menace,"8-4-0,(1,NC)",5  9,145 lbs.,72,Orthodox,"Nov 03, 1980",2.91,45%,3.48,46%,2.14,50%,50%,2.1,loss
"Andrei,Semenov",,34-9-2,6  0,185 lbs.,--,Orthodox,"Jun 17, 1977",0.78,15%,2.44,60%,1.74,80%,55%,0.4,loss
"Jairzinho,Rozenstruik",Bigi Boy,15-6-0,6  2,242 lbs.,78,Orthodox,"Mar 17, 1988",3.75,49%,2.74,51%,0.00,0%,75%,0.0,loss
"Pete,Sell",Drago,10-7-0,5  11,170 lbs.,75,Orthodox,"Aug 05, 1982",2.60,42%,3.65,51%,0.91,21%,47%,0.9,loss
"Matthew,Semelsberger",Semi The Jedi,11-8-0,6  1,170 lbs.,75,Switch,"Nov 23, 1992",3.77,42%,4.24,54%,1.01,57%,45%,0.4,loss
"Murilo,Rua",Ninja,20-13-1,5  11,185 lbs.,--,Orthodox,"May 22, 1980",2.48,45%,1.85,53%,1.97,45%,37%,1.2,loss
"Brad,Royster",,1-2-0,--,135 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Brandon,Royval",Raw Dawg,17-7-0,5  9,125 lbs.,68,Southpaw,"Aug 16, 1992",4.46,39%,3.06,47%,0.75,75%,45%,1.2,next
"Cam,Rowston",Battle Giraffe,8-3-0,6  2,185 lbs.,78,Orthodox,"Jan 19, 1995",2.13,49%,1.87,47%,0.00,0%,28%,1.0,loss
"Mauricio,Rua",Shogun,27-14-1,6  1,205 lbs.,76,Orthodox,"Nov 25, 1981",3.57,50%,2.79,54%,2.01,48%,49%,0.7,loss
"Ronda,Rousey",Rowdy,12-2-0,5  7,135 lbs.,66,Orthodox,"Feb 01, 1987",4.17,52%,4.14,44%,6.26,68%,50%,4.8,loss
"Phil,Rowe",The Fresh Prince,10-5-0,6  3,170 lbs.,80,Orthodox,"Jul 18, 1990",3.65,49%,4.34,55%,0.70,36%,56%,0.3,loss
"Ray,Routh",,2-1-0,5  8,185 lbs.,--,Orthodox,--,0.54,21%,3.22,28%,2.69,33%,0%,0.0,loss
"Rick,Roufus",,4-6-0,6  0,207 lbs.,--,Southpaw,--,0.53,33%,1.06,33%,0.00,0%,50%,0.0,loss
"Khalil,Rountree,Jr.",,"14-6-0,(1,NC)",6  1,205 lbs.,76,Southpaw,"Feb 26, 1990",3.73,38%,4.51,48%,0.00,0%,58%,0.1,loss
"Buck,Meredith",,3-3-0,6  2,185 lbs.,--,,"May 17, 1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Dave,Menne",The Warrior,45-17-2,5  10,170 lbs.,--,Orthodox,"Jul 29, 1974",1.84,44%,1.99,42%,0.46,50%,57%,2.5,loss
"Ivan,Menjivar",The Pride of El Salvador,25-12-0,5  6,145 lbs.,64,Orthodox,"May 30, 1982",2.78,37%,2.76,65%,0.56,28%,38%,1.0,loss
"Steve,Mensing",The Machine,"9-13-2,(1,NC)",5  11,185 lbs.,--,Orthodox,"Dec 06, 1977",0.00,0%,9.51,42%,0.00,0%,0%,0.0,loss
"Luis,Mendoza",,0-1-0,--,155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Alonzo,Menifield",Atomic,15-5-1,6  0,205 lbs.,76,Orthodox,"Oct 18, 1987",3.77,54%,3.70,49%,0.63,33%,76%,0.2,next
"Mateus,Mendonca",Bocao,10-3-0,5  6,125 lbs.,71,Orthodox,"Jan 17, 1999",1.66,40%,4.14,30%,2.54,27%,55%,0.4,loss
"Augusto,Mendes",Tanquinho,6-2-0,5  6,135 lbs.,65,Orthodox,"Mar 03, 1983",2.42,34%,3.91,56%,1.75,33%,80%,0.0,loss
"Eddie,Mendez",,"8-3-1,(1,NC)",5  10,185 lbs.,--,,"Jan 16, 1984",1.71,33%,3.43,11%,0.00,0%,0%,0.0,loss
"Antonio,Mendes",Samurai,18-13-0,6  3,205 lbs.,77,Southpaw,"Apr 19, 1981",1.34,47%,6.85,22%,2.51,50%,100%,0.0,loss
"Chad,Mendes",Money,18-5-0,5  6,145 lbs.,66,Orthodox,"May 01, 1985",2.78,49%,2.35,67%,4.13,55%,100%,0.3,loss
"Vanessa,Melo",,11-8-0,5  5,135 lbs.,65,Orthodox,"Mar 27, 1988",3.48,30%,6.13,59%,0.00,0%,71%,0.0,win
"Rony,Sefo",,0-2-0,5  9,225 lbs.,--,Orthodox,--,0.00,0%,0.43,0%,0.00,0%,0%,0.0,loss
"Brendan,Seguin",,23-19-1,6  0,185 lbs.,--,,"Jul 03, 1976",2.60,45%,0.60,84%,5.00,62%,100%,0.0,win
"Stefan,Sekulic",,12-4-0,6  0,170 lbs.,75,Southpaw,"Feb 12, 1992",1.83,50%,2.83,64%,2.00,33%,25%,0.5,loss
"Ray,Sefo",Sugarfoot,2-2-0,6  0,240 lbs.,--,Orthodox,"Feb 15, 1971",0.86,31%,1.71,72%,0.00,0%,66%,0.0,loss
"Kenneth,Seegrist",,4-7-0,6  0,185 lbs.,--,Orthodox,--,3.21,66%,1.28,0%,0.00,0%,40%,14.4,loss
"Zachary,Scroggin",,7-1-0,6  3,170 lbs.,74,Orthodox,"Mar 09, 1996",2.40,37%,8.80,68%,0.00,0%,0%,0.0,loss
"Justin,Scoggins",,11-5-0,5  7,125 lbs.,66,Southpaw,"May 02, 1992",3.56,51%,2.16,55%,3.42,63%,82%,0.5,loss
"Mike,Seal",Crazy Boy,"13-15-1,(1,NC)",6  4,185 lbs.,--,Orthodox,--,5.50,68%,3.33,50%,0.00,0%,33%,0.0,loss
"Neil,Seery",2Tap,16-13-0,5  4,125 lbs.,64,Orthodox,"Aug 30, 1979",3.56,41%,3.79,58%,0.78,27%,53%,1.6,loss
"Brad,Scott",Bear,11-6-0,6  1,170 lbs.,76,Orthodox,"Jun 24, 1989",3.52,41%,4.31,57%,0.32,15%,63%,0.7,loss
"Eric,Schwartz",,2-0-0,--,205 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,win
"Mark,Schultz",,1-1-0,5  9,200 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,win
"Wes,Schultz",Party Time,6-2-0,6  2,185 lbs.,77,Orthodox,"Aug 09, 1996",5.16,45%,5.38,46%,3.36,25%,0%,0.0,loss
"Brian,Schwartz",,1-1-0,6  3,170 lbs.,--,Orthodox,--,1.27,44%,0.87,45%,0.00,0%,50%,1.0,win
"Kristian,Rothaermel",,4-3-0,6  0,205 lbs.,--,Open Stance,"Jan 31, 1972",0.75,50%,2.49,41%,0.00,0%,0%,0.0,loss
"Nick,Rossborough",Leatherface,26-19-1,6  5,205 lbs.,--,,"Nov 18, 1981",2.80,35%,4.33,35%,0.00,0%,100%,0.0,loss
"Ben,Rothwell",,39-14-0,6  4,265 lbs.,78,Orthodox,"Oct 17, 1981",3.71,42%,4.63,47%,0.68,34%,70%,0.4,loss
"Shannon,Ross",The Turkish Delight,13-9-0,5  6,125 lbs.,66,Switch,"May 12, 1989",5.96,39%,7.39,55%,0.00,0%,100%,0.0,loss
"Kevin,Rosier",,2-6-0,6  4,275 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Hilarie,Rose",,4-2-0,5  3,115 lbs.,63,Orthodox,"Nov 11, 1992",2.33,33%,6.13,44%,0.00,0%,100%,0.0,loss
"Lacey,Schuckman",,11-10-0,5  3,125 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Jared,Rosholt",,14-4-0,6  2,265 lbs.,75,Orthodox,"Aug 04, 1986",2.08,46%,1.52,59%,1.83,41%,66%,0.1,loss
"Raul,Rosas,Jr.",El Nino Problema,10-1-0,5  9,135 lbs.,67,Switch,"Oct 08, 2004",1.55,43%,1.43,51%,4.02,39%,0%,1.3,win
"Jacob,Rosales",The Lil Badger,13-7-0,5  11,155 lbs.,74,Orthodox,"Jul 28, 1995",7.19,46%,10.66,44%,1.12,18%,50%,0.6,loss
"Jake,Rosholt",,"12-5-0,(1,NC)",6  1,185 lbs.,--,Orthodox,"Feb 09, 1982",2.68,53%,2.33,49%,6.51,68%,0%,1.8,loss
"Karol,Rosa",,18-7-0,5  5,135 lbs.,67,Orthodox,"Dec 30, 1994",6.22,55%,4.84,49%,1.09,46%,70%,0.0,loss
"Charles,Rosa",Boston Strong,14-8-0,5  9,145 lbs.,69,Switch,"Aug 24, 1986",3.08,36%,3.86,47%,1.67,35%,38%,1.0,loss
"Aaron,Rosa",,18-6-0,6  4,205 lbs.,77,Orthodox,"May 28, 1983",4.03,47%,4.41,45%,0.36,33%,85%,0.4,loss
"Joao,Roque",,7-2-4,5  6,155 lbs.,--,Orthodox,"Jul 22, 1971",0.00,0%,0.00,0%,0.00,0%,0%,0.0,win
"Jesse,Ronson",The Body Snatcher,"21-12-0,(1,NC)",5  10,155 lbs.,70,Southpaw,"Dec 24, 1985",3.54,47%,3.39,57%,0.46,28%,57%,0.5,loss
"Cortavious,Romious",,9-3-0,5  4,135 lbs.,68,Southpaw,"Jan 06, 1994",2.10,37%,3.02,39%,1.97,66%,70%,1.0,loss
"George,Roop",,15-13-1,6  1,135 lbs.,72,Orthodox,"Nov 10, 1981",3.43,34%,2.47,60%,1.05,57%,59%,0.1,loss
"Juancamilo,Ronderos",100,4-2-0,5  3,125 lbs.,64,Southpaw,"Feb 17, 1995",2.18,30%,2.18,63%,2.72,33%,0%,0.0,loss
Rongzhu,,25-6-0,5  9,155 lbs.,72,Orthodox,"Mar 07, 2000",5.45,51%,5.80,44%,1.85,62%,85%,0.2,loss
"Marcelo,Mello",,1-0-0,5  7,170 lbs.,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,win
"Fabio,Mello",,11-8-0,5  5,155 lbs.,--,Southpaw,--,0.86,35%,3.94,50%,0.00,0%,0%,0.0,loss
"Brandon,Melendez",The Murderer,25-25-0,5  11,155 lbs.,--,Southpaw,"Mar 24, 1983",0.84,26%,0.56,63%,0.00,0%,25%,0.0,loss
"Brian,Melancon",,7-3-0,5  8,170 lbs.,--,Orthodox,"May 28, 1982",4.18,49%,3.64,64%,2.02,100%,66%,0.0,loss
"Derrick,Mehmen",Caveman,19-9-0,6  4,205 lbs.,--,,"May 30, 1985",1.93,14%,4.53,48%,1.00,16%,0%,0.0,loss
"Jordan,Mein",Young Gun,31-12-0,6  0,170 lbs.,73,Orthodox,"Oct 10, 1989",3.35,44%,2.55,69%,1.56,58%,66%,0.2,win
"Gilbert,Melendez",El Nino,22-8-0,5  9,145 lbs.,73,Orthodox,"Apr 12, 1982",3.44,33%,2.53,63%,1.64,41%,71%,0.2,loss
"Frank,Megallon",,2-3-0,5  10,185 lbs.,--,Southpaw,--,1.14,21%,5.32,54%,0.00,0%,0%,0.0,loss
"Sanford,Alton,Meeks",,1-1-0,6  5,265 lbs.,75,Orthodox,"Apr 05, 1994",0.71,42%,4.47,38%,7.06,25%,0%,0.0,loss
"Miika,Mehmet",,3-5-0,--,205 lbs.,--,Orthodox,--,0.33,12%,7.29,24%,0.00,0%,0%,0.0,loss
"Jason,Medina",,21-15-1,5  9,180 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Emil,Meek",Valhalla,"9-5-1,(1,NC)",5  11,170 lbs.,74,Switch,"Aug 20, 1988",2.52,39%,2.53,38%,0.25,33%,47%,1.0,loss
"Jose,Daniel,Medina",Chicho,11-4-0,6  0,185 lbs.,74,Orthodox,"May 17, 1991",1.87,33%,4.93,48%,0.50,33%,31%,0.0,loss
"Gerald,Meerschaert",GM3,37-18-0,6  1,185 lbs.,77,Southpaw,"Dec 18, 1987",3.10,45%,3.45,53%,2.01,35%,42%,1.5,loss
"Todd,Medina",El Tiburon,"11-9-0,(1,NC)",5  10,193 lbs.,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Bob,Schrijber",Dirty,20-17-1,6  0,240 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Bailey,Schoenfelder",Berserk,5-1-0,6  3,265 lbs.,76,Orthodox,"Sep 22, 1997",0.00,0%,9.86,53%,0.00,0%,0%,0.0,loss
"Nate,Schroeder",,11-10-0,6  1,230 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Darrill,Schoonover",The Boss,14-8-0,6  2,220 lbs.,--,Orthodox,"Jul 18, 1985",1.20,33%,4.35,38%,0.00,0%,50%,1.1,loss
"Alex,Schoenauer",,15-10-0,6  3,185 lbs.,--,Orthodox,"May 05, 1976",1.22,40%,2.27,42%,0.00,0%,22%,4.9,loss
"Colleen,Schneider",,11-7-0,--,135 lbs.,--,,--,2.17,48%,2.50,50%,2.50,50%,60%,0.0,loss
"Daniel,Schmitt",,2-3-0,--,185 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Matt,Schnell",Danger,"16-9-0,(1,NC)",5  8,125 lbs.,70,Orthodox,"Jan 15, 1990",4.39,39%,4.64,55%,0.56,40%,50%,1.0,loss
"Roberto,Romero",El Charro Negro,8-4-1,5  8,155 lbs.,70,Orthodox,"Jan 30, 2000",4.93,47%,8.07,43%,0.00,0%,66%,0.0,loss
"Adam,Schindler",,10-6-0,5  8,155 lbs.,--,,"May 19, 1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0,win
"Mara,Romero,Borella",,"12-9-0,(2,NC)",5  6,125 lbs.,69,Orthodox,"Jun 03, 1986",2.54,37%,2.48,71%,1.83,44%,66%,0.2,loss
